Command Timestamp,Completion Timestamp,Target Position (mm),Actual Position (mm),Distance Travelled (mm),Movement Time (s)
2025-03-07 11:11:18.042,2025-03-07 11:11:20.063,0.0,0.00015,0.0,2.021
2025-03-07 11:11:23.060,2025-03-07 11:11:23.616,25.0,24.99999,24.99984,0.556
2025-03-07 11:11:28.061,2025-03-07 11:11:28.623,0.0,-1e-05,25.0,0.562
2025-03-07 11:11:33.070,2025-03-07 11:11:33.828,50.0,49.99999,50.0,0.758
2025-03-07 11:11:38.059,2025-03-07 11:11:38.829,0.0,-1e-05,50.0,0.77
2025-03-07 11:11:43.067,2025-03-07 11:11:43.978,75.0,74.99999,75.0,0.911
2025-03-07 11:11:48.067,2025-03-07 11:11:48.898,0.0,0.0039,74.99609,0.831
2025-03-07 11:11:53.078,2025-03-07 11:11:54.065,100.0,99.99984,99.99594,0.987
2025-03-07 11:11:58.076,2025-03-07 11:11:59.111,0.0,-1e-05,99.99985000000001,1.035
2025-03-07 11:12:03.074,2025-03-07 11:12:04.177,125.0,124.99984,124.99985000000001,1.103
2025-03-07 11:12:08.074,2025-03-07 11:12:09.220,0.0,-1e-05,124.99985000000001,1.146
2025-03-07 11:12:13.082,2025-03-07 11:12:14.262,150.0,149.99984,149.99985,1.18
2025-03-07 11:12:18.073,2025-03-07 11:12:19.295,0.0,0.00015,149.99969000000002,1.222
2025-03-07 11:12:23.075,2025-03-07 11:12:24.434,175.0,174.99999,174.99984,1.359
2025-03-07 11:12:28.085,2025-03-07 11:12:29.353,0.0,0.00015,174.99984,1.268
2025-03-07 11:12:33.107,2025-03-07 11:12:34.537,200.0,199.99999,199.99984,1.43
2025-03-07 11:12:38.092,2025-03-07 11:12:39.463,0.0,0.00015,199.99984,1.371
2025-03-07 11:12:43.094,2025-03-07 11:12:44.641,225.0,224.99999,224.99984,1.5470000000000002
2025-03-07 11:12:48.102,2025-03-07 11:12:49.661,0.0,-1e-05,225.0,1.5590000000000002
2025-03-07 11:12:53.089,2025-03-07 11:12:54.713,250.0,249.99999,250.0,1.624
2025-03-07 11:12:58.099,2025-03-07 11:12:59.697,0.0,0.00015,249.99984,1.5979999999999999
2025-03-07 11:13:03.091,2025-03-07 11:13:04.743,275.0,274.99984,274.99969,1.6520000000000001
2025-03-07 11:13:08.094,2025-03-07 11:13:09.759,0.0,0.00015,274.99969,1.665
2025-03-07 11:13:13.094,2025-03-07 11:13:14.834,300.0,299.99953,299.99938,1.74
2025-03-07 11:13:18.101,2025-03-07 11:13:19.937,0.0,-1e-05,299.99953999999997,1.8359999999999999
2025-03-07 11:13:23.098,2025-03-07 11:13:24.987,325.0,324.99984,324.99985,1.889
2025-03-07 11:13:28.100,2025-03-07 11:13:30.030,0.0,-1e-05,324.99985,1.9300000000000002
2025-03-07 11:13:33.095,2025-03-07 11:13:35.066,350.0,349.99984,349.99985,1.971
2025-03-07 11:13:38.095,2025-03-07 11:13:40.089,0.0,0.00015,349.99969,1.994
2025-03-07 11:13:43.100,2025-03-07 11:13:45.150,364.4,364.39984,364.39968999999996,2.05
2025-03-07 11:13:48.095,2025-03-07 11:13:50.082,0.0,0.00124,364.3986,1.987
2025-03-07 11:13:53.091,2025-03-07 11:13:55.091,364.4,364.39984,364.3986,2.0
